constituency,party_before,name,party_member,notes,screen_name,user_id
Huddersfield,Labour Co-operative,Barry Sheerman,Labour Co-operative,Seat held,BarrySheerman,250091875
Huntingdon,Conservative,Jonathan Djanogly,Conservative,Seat held,JDjanogly,131120978
Horsham,Conservative,Jeremy Quin,Conservative,Seat held,none,none
Ilford North,Labour,Wes Streeting,Labour,Seat held,wesstreeting,20362684
Kenilworth and Southam,Conservative,Jeremy Wright,Conservative,Seat held,none,none
Inverclyde,Scottish National,Ronnie Cowan,Scottish National,Seat held,ronniecowan,132490359
Broadland,Conservative,Jerome Mayhew,Conservative,"Previous incumbent, Keith Simpson, did not stand",jeromemayhew,
Newport East,Labour,Jessica Morden,Labour,Seat held,jessicamordenmp,
Isle of Wight,Conservative,Bob Seely,Conservative,Seat held,IoWBobSeely,7.13022E+17
Islington North,Labour,Jeremy Corbyn,Labour,Seat held,jeremycorbyn,117777690
Islington South and Finsbury,Labour,Emily Thornberry,Labour,Seat held,EmilyThornberry,164226176
Islwyn,Labour Co-operative,Chris Evans,Labour Co-operative,Seat held,Chris_EvansMP,3128468829
Strangford,DUP,Jim Shannon,DUP,Seat held,jimshannonmp,
Stoke-on-Trent Central,Labour Co-operative,Jo Gideon,Conservative,"Defeated incumbent, Gareth Snell",jogideon,
Edinburgh South West,Scottish National,Joanna Cherry,Scottish National,Seat held,joannaccherry,
Basildon and Billericay,Conservative,John Baron,Conservative,Seat held,none,none
Belfast North,DUP,John Finucane,Sinn F̩in,"Defeated incumbent, Nigel Dodds",johnfinucane,
Kilmarnock and Loudoun,Scottish National,Alan Brown,Scottish National,Seat held,AlanBrownSNP,3011043981
South Holland and The Deepings,Conservative,John Hayes,Conservative,Seat held,none,none
Kingston upon Hull East,Labour,Karl Turner,Labour,Seat held,KarlTurnerMP,432396682
"Berwickshire, Roxburgh and Selkirk",Conservative,John Lamont,Conservative,Seat held,John2Win,
Kingston upon Hull West and Hessle,Labour,Emma Hardy,Labour,Seat held,EmmaHardyMP,499590887
Kingswood,Conservative,Chris Skidmore,Conservative,Seat held,CSkidmoreUK,436576452
Ochil and South Perthshire,Conservative,John Nicolson,Scottish National,"Defeated incumbent, Luke Graham",mrjohnnicolson,
Leicester South,Labour Co-operative,Jon Ashworth,Labour Co-operative,Seat held,JonAshworth,
Lagan Valley,DUP,Jeffrey Donaldson,DUP,Seat held,J_Donaldson_MP,277499481
Lanark and Hamilton East,Scottish National,Angela Crawley,Scottish National,Seat held,AngelaCrawley30,389421264
Lancaster and Fleetwood,Labour,Cat Smith,Labour,Seat held,CatSmithMP,31756041
Leeds Central,Labour,Hilary Benn,Labour,Seat held,hilarybennmp,408454349
Leeds East,Labour,Richard Burgon,Labour,Seat held,RichardBurgon,545081356
Leeds North East,Labour,Fabian Hamilton,Labour,Seat held,FabianLeedsNE,8.59433E+17
Carmarthen East and Dinefwr,Plaid Cymru,Jonathan Edwards,Plaid Cymru,Seat held,JonathanPlaid,
Leeds West,Labour,Rachel Reeves,Labour,Seat held,RachelReevesMP,34374472
Stoke-on-Trent North,Labour,Jonathan Gullis,Conservative,"Defeated incumbent, Ruth Smeeth",jegullis,
Woking,Conservative,Jonathan Lord,Conservative,Seat held,JonathanLord,
Leicester West,Labour,Liz Kendall,Labour,Seat held,leicesterliz,105800463
Beaconsfield,Independent[h],Joy Morrissey,Conservative,"Defeated incumbent, Dominic Grieve",joymorrissey,
Lewes,Conservative,Maria Caulfield,Conservative,Seat held,mariacaulfield,207697553
New Forest East,Conservative,Julian Lewis,Conservative,Seat held,none,none
Lewisham West and Penge,Labour,Ellie Reeves,Labour,Seat held,elliereeves,52124856
York Outer,Conservative,Julian Sturdy,Conservative,Seat held,JulianSturdy,
Leyton and Wanstead,Labour,John Cryer,Labour,Seat held,JohnCryerMP,2979904613
Hertford and Stortford,Conservative,Julie Marson,Conservative,"Previous incumbent, Mark Prisk, did not stand",JulieMarsonMP,
Staffordshire Moorlands,Conservative,Karen Bradley,Conservative,Seat held,none,none
Linlithgow and East Falkirk,Scottish National,Martyn Day,Scottish National,Seat held,MartynDaySNP,92091625
Lincoln,Labour,Karl McCartney,Conservative,"Defeated incumbent, Karen Lee",karlmccartney,
Liverpool Walton,Labour,Dan Carden,Labour,Seat held,DanCardenMP,8.60188E+17
Stretford and Urmston,Labour,Kate Green,Labour,Seat held,KateGreenSU,
Burton,Conservative,Kate Griffiths,Conservative,"Previous incumbent, Andrew Griffiths, did not stand",none,none
Edmonton,Labour Co-operative,Kate Osamor,Labour Co-operative,Seat held,kateosamor,
Llanelli,Labour,Nia Griffith,Labour,Seat held,NiaGriffithMP,481120639
Jarrow,Independent[g],Kate Osborne,Labour,"Previous incumbent, Stephen Hepburn, did not stand",KateOsborneMP,
South Ribble,Conservative,Katherine Fletcher,Conservative,"Previous incumbent, Seema Kennedy, did not stand",K_Fletcher_MP,
Ludlow,Conservative,Philip Dunne,Conservative,Seat held,Dunne4Ludlow,1650144662
East Lothian,Labour,Kenny MacAskill,Scottish National,"Defeated incumbent, Martin Whitfield",KennyMacAskill,
Crewe and Nantwich,Labour,Kieran Mullan,Conservative,"Defeated incumbent, Laura Smith",KieranMullanUK,
Macclesfield,Conservative,David Rutley,Conservative,Seat held,DavidRutley,606306570
Maidenhead,Conservative,Theresa May,Conservative,Seat held,theresa_may,7.47807E+17
Maidstone and The Weald,Conservative,Helen Grant,Conservative,Seat held,HelenGrantMP,24727170
Makerfield,Labour,Yvonne Fovargue,Labour,Seat held,Y_FovargueMP,568174146
Maldon,Conservative,John Whittingdale,Conservative,Seat held,JWhittingdale,129569947
Manchester Central,Labour Co-operative,Lucy Powell,Labour Co-operative,Seat held,LucyMPowell,32439211
Liverpool Riverside,Independent[f],Kim Johnson,Labour,"Previous incumbent, Louise Ellman, did not stand",KimJohnsonMP,
Manchester Withington,Labour,Jeff Smith,Labour,Seat held,JeffSmithetc,18951643
East Renfrewshire,Conservative,Kirsten Oswald,Scottish National,"Defeated incumbent, Paul Masterton",kirstenoswald,
Newbury,Conservative,Laura Farris,Conservative,"Previous incumbent, Richard Benyon, did not stand",Laura__Farris,
Sevenoaks,Conservative,Laura Trott,Conservative,"Previous incumbent, Michael Fallon, did not stand",none,none
Oxford West and Abingdon,Liberal Democrats,Layla Moran,Liberal Democrats,Seat held,laylamoran,
Mid Bedfordshire,Conservative,Nadine Dorries,Conservative,Seat held,NadineDorries,457060718
Mid Derbyshire,Conservative,Pauline Latham,Conservative,Seat held,Pauline_Latham,19087569
Mid Dorset and North Poole,Conservative,Michael Tomlinson,Conservative,Seat held,Michael4MDNP,200519122
Mid Norfolk,Conservative,George Freeman,Conservative,Seat held,GeorgeFreemanMP,101712079
Mid Sussex,Conservative,Mims Davies,Conservative,"Previous incumbent, Nicholas Soames, did not stand. Davies was previously MP for Eastleigh",mimsdavies,236588290
Mid Ulster,Sinn F̩in,Francie Molloy,Sinn F̩in,Seat held,FrancieMolloy,1006402848
Mid Worcestershire,Conservative,Nigel Huddleston,Conservative,Seat held,HuddlestonNigel,568249574
Middlesbrough,Labour,Andy McDonald,Labour,Seat held,AndyMcDonaldMP,927480949
Middlesbrough South and East Cleveland,Conservative,Simon Clarke,Conservative,Seat held,SimonClarkeMP,1715832776
Ashfield,Labour,Lee Anderson,Conservative,"Previous incumbent, Gloria de Piero, did not stand",none,none
Great Grimsby,Labour,Lia Nici,Conservative,"Defeated incumbent, Melanie Onn",lia_nici,
Milton Keynes South,Conservative,Iain Stewart,Conservative,Seat held,iainastewart,100260784
Mitcham and Morden,Labour,Siobhain McDonagh,Labour,Seat held,Siobhain_Mc,580749365
Nottingham South,Labour,Lilian Greenwood,Labour,Seat held,LilianGreenwood,
Dwyfor Meirionnydd,Plaid Cymru,Liz Saville-Roberts,Plaid Cymru,Seat held,lsrplaid,
Brighton Kemptown,Labour Co-operative,Lloyd Russell-Moyle,Labour Co-operative,Seat held,lloyd_rm,
Moray,Conservative,Douglas Ross,Conservative,Seat held,Douglas4Moray,2890801661
Morecambe and Lunesdale,Conservative,David Morris,Conservative,Seat held,davidmorrisml,187632184
Morley and Outwood,Conservative,Andrea Jenkyns,Conservative,Seat held,andreajenkyns,1350441445
Motherwell and Wishaw,Scottish National,Marion Fellows,Scottish National,Seat held,marionfellows,79550633
Bosworth,Conservative,Luke Evans,Conservative,"Previous incumbent, David Tredinnick, did not stand",drlukeevans,
Neath,Labour Co-operative,Christina Rees,Labour Co-operative,Seat held,Rees4Neath,1351389578
West Ham,Labour,Lyn Brown,Labour,Seat held,lynbrownmp,
New Forest West,Conservative,Desmond Swayne,Conservative,Seat held,DesmondSwayne,1633543440
Newark,Conservative,Robert Jenrick,Conservative,Seat held,RobertJenrick,2323710210
Erewash,Conservative,Maggie Throup,Conservative,Seat held,maggie_erewash,
Dudley North,Independent[g],Marco Longhi,Conservative,"Previous incumbent, Ian Austin, did not stand",marcolonghi4dn,
Derby South,Labour,Margaret Beckett,Labour,Seat held,none,none
Newcastle upon Tyne North,Labour,Catherine McKinnell,Labour,Seat held,CatMcKinnell,77808680
Rutherglen and Hamilton West,Labour Co-operative,Margaret Ferrier,Scottish National,"Defeated incumbent, Gerard Killen",MargaretFerrier,
Basingstoke,Conservative,Maria Miller,Conservative,Seat held,MariaMillerUK,
Dewsbury,Labour,Mark Eastwood,Conservative,"Defeated incumbent, Paula Sherriff",mark4dewsbury,
Newry and Armagh,Sinn F̩in,Mickey Brady,Sinn F̩in,Seat held,MickeyBradySF,2982986710
Newton Abbot,Conservative,Anne Marie Morris,Conservative,Seat held,AnneMarieMorris,80968760
"Normanton, Pontefract and Castleford",Labour,Yvette Cooper,Labour,Seat held,YvetteCooperMP,328634628
Bolsover,Labour,Mark Fletcher,Conservative,"Defeated incumbent, Dennis Skinner",none,none
North Ayrshire and Arran,Scottish National,Patricia Gibson,Scottish National,Seat held,PGibsonSNP,3030111953
North Cornwall,Conservative,Scott Mann,Conservative,Seat held,scottmann4NC,112761860
Rayleigh and Wickford,Conservative,Mark Francois,Conservative,Seat held,none,none
North Dorset,Conservative,Simon Hoare,Conservative,Seat held,Simon4NDorset,3012159189
Workington,Labour,Mark Jenkinson,Conservative,"Defeated incumbent, Sue Hayman",markjenkinsonmp,
North Durham,Labour,Kevan Jones,Labour,Seat held,KevanJonesMP,815306454
Bolton North East,Labour,Mark Logan,Conservative,"Defeated incumbent, David Crausby",Mark_Logan_MP,
North East Cambridgeshire,Conservative,Steve Barclay,Conservative,Seat held,SteveBarclay,269788397
North East Derbyshire,Conservative,Lee Rowley,Conservative,Seat held,Lee4NED,1216506050
Fylde,Conservative,Mark Menzies,Conservative,Seat held,none,none
West Dunbartonshire,Scottish National,Martin Docherty-Hughes,Scottish National,Seat held,martinjdocherty,
North East Hertfordshire,Conservative,Oliver Heald,Conservative,Seat held,OliverHealdUK,206263631
City of Durham,Labour,Mary Foy,Labour,"Previous incumbent, Roberta Blackman-Woods, did not stand",marykfoy,
North Tyneside,Labour,Mary Glindon,Labour,Seat held,GlindonMary,
Stockton South,Labour,Matt Vickers,Conservative,"Defeated incumbent, Paul Williams",Matt_VickersMP,
North Shropshire,Conservative,Owen Paterson,Conservative,Seat held,OwenPaterson,2660755152
North Somerset,Conservative,Liam Fox,Conservative,Seat held,LiamFox,532241033
North Swindon,Conservative,Justin Tomlinson,Conservative,Seat held,JustinTomlinson,250311545
Warwick and Leamington,Labour,Matt Western,Labour,Seat held,mattwestern_,
West Suffolk,Conservative,Matthew Hancock,Conservative,Seat held,matthancock,
North Warwickshire,Conservative,Craig Tracey,Conservative,Seat held,craig4nwarks,140020746
Hackney South and Shoreditch,Labour Co-operative,Meg Hillier,Labour Co-operative,Seat held,Meg_HillierMP,
Central Devon,Conservative,Mel Stride,Conservative,Seat held,meljstride,
North West Hampshire,Conservative,Kit Malthouse,Conservative,Seat held,kitmalthouse,19407599
North West Leicestershire,Conservative,Andrew Bridgen,Conservative,Seat held,ABridgen,309587728
Paisley and Renfrewshire South,Scottish National,Mhairi Black,Scottish National,Seat held,MhairiBlack,
North Wiltshire,Conservative,James Gray,Conservative,Seat held,JGray,86192099
Northampton North,Conservative,Michael Ellis,Conservative,Seat held,Michael_Ellis1,19858924
Northampton South,Conservative,Andrew Lewer,Conservative,Seat held,ALewerMBE,3320682953
Norwich North,Conservative,Chloe Smith,Conservative,Seat held,NorwichChloe,386776248
Norwich South,Labour,Clive Lewis,Labour,Seat held,labourlewis,36924726
Lichfield,Conservative,Michael Fabricant,Conservative,Seat held,Mike_Fabricant,
Nottingham North,Labour Co-operative,Alex Norris,Labour Co-operative,Seat held,AlexNorrisNN,20142835
Birkenhead,Birkenhead Social Justice[g],Mick Whitley,Labour,"Defeated incumbent, Frank Field",MickWhitleyMP,
Nuneaton,Conservative,Marcus Jones,Conservative,Seat held,Marcus4Nuneaton,1469686752
Finchley and Golders Green,Conservative,Mike Freer,Conservative,Seat held,MinFreerHMG,
Ogmore,Labour,Chris Elmore,Labour,Seat held,CPJElmore,169898513
Old Bexley and Sidcup,Conservative,James Brokenshire,Conservative,Seat held,JBrokenshire,92498317
Oldham East and Saddleworth,Labour,Debbie Abrahams,Labour,Seat held,Debbie_abrahams,225857392
Oldham West and Royton,Labour Co-operative,Jim McMahon,Labour Co-operative,Seat held,JimfromOldham,154661114
Orkney and Shetland,Liberal Democrats,Alistair Carmichael,Liberal Democrats,Seat held,amcarmichaelMP,91786287
Hartlepool,Labour,Jill Mortimer,Conservative,Elected in after the resignation of Mike Hill in 2021,,
Hartlepool,Labour,Mike Hill,Labour,Seat held. Resigned in 2021,none,none
Hemel Hempstead,Conservative,Mike Penning,Conservative,Seat held,none,none
Penistone and Stocksbridge,Liberal Democrats[g],Miriam Cates,Conservative,"Previous incumbent, Angela Smith, did not stand",none,none
Bedford,Labour,Mohammad Yasin,Labour,Seat held,YasinForBedford,
Twickenham,Liberal Democrats,Munira Wilson,Liberal Democrats,"Previous incumbent, Vince Cable, did not stand",munirawilson,
Pendle,Conservative,Andrew Stephenson,Conservative,Seat held,Andrew4Pendle,131517399
Nottingham East,Change UK[f],Nadia Whittome,Labour,"Defeated incumbent, Chris Leslie",NadiaWhittomeMP,
Bradford West,Labour,Naseem Shah,Labour,Seat held,nazshahbfd,
Perth and North Perthshire,Scottish National,Pete Wishart,Scottish National,Seat held,PeteWishart,276868661
Dover,Independent[h],Natalie Elphicke,Conservative,"Previous incumbent, Charlie Elphicke, did not stand",NatalieElphicke,
Plymouth Moor View,Conservative,Johnny Mercer,Conservative,Seat held,JohnnyMercerUK,97402576
Plymouth Sutton and Devonport,Labour Co-operative,Luke Pollard,Labour Co-operative,Seat held,LukePollard,10955042
Stockport,Change UK[g],Navendu Mishra,Labour,"Previous incumbent, Ann Coffey, did not stand",NavPMishra,
Poole,Conservative,Robert Syms,Conservative,Seat held,RobertSyms,2202981242
Kirkcaldy and Cowdenbeath,Labour,Neale Hanvey,Scottish National[k],"Defeated incumbent, Lesley Laird",JNHanvey,
Portsmouth North,Conservative,Penny Mordaunt,Conservative,Seat held,PennyMordaunt,462856853
Portsmouth South,Labour,Stephen Morgan,Labour,Seat held,StephenMorganMP,24045870
Preseli Pembrokeshire,Conservative,Stephen Crabb,Conservative,Seat held,SCrabbPembs,810372954
Preston,Labour Co-operative,Mark Hendrick,Labour Co-operative,Seat held,MpHendrick,1302003805
Pudsey,Conservative,Stuart Andrew,Conservative,Seat held,StuartAndrew,20424362
Penrith and The Border,Independent[h],Neil Hudson,Conservative,"Previous incumbent, Rory Stewart, did not stand",DrNeilHudson,
Tiverton and Honiton,Conservative,Richard Foord,Liberal Democrats,Elected after Neil Parish resigned in 2022.,RichardFoordLD,
Tiverton and Honiton,Conservative,Neil Parish,Conservative,Seat held,none,none
Reading East,Labour,Matt Rodda,Labour,Seat held,MattRodda,216516145
Reading West,Conservative,Alok Sharma,Conservative,Seat held,AlokSharma_RDG,1731554581
Don Valley,Labour,Nicholas Fletcher,Conservative,"Defeated incumbent, Caroline Flint",NickFletcherMP,
Redditch,Conservative,Rachel Maclean,Conservative,Seat held,redditchrachel,8.60897E+17
Reigate,Conservative,Crispin Blunt,Conservative,Seat held,CrispinBlunt,76579281
Rhondda,Labour,Chris Bryant,Labour,Seat held,RhonddaBryant,20995648
Ribble Valley,Conservative,Nigel Evans,Conservative,Seat held,nigelmp,9260332
Newcastle upon Tyne East,Labour,Nick Brown,Labour,Seat held,none,none
Cities of London and Westminster,Conservative,Nickie Aiken,Conservative,"Previous incumbent, Mark Field, did not stand",twocitiesnickie,
Rochdale,Labour,Tony Lloyd,Labour,Seat held,tony4rochdale,23452834
Rochester and Strood,Conservative,Kelly Tolhurst,Conservative,Seat held,KellyTolhurst,218789670
Rochford and Southend East,Conservative,James Duddridge,Conservative,Seat held,JamesDuddridge,124170781
Romford,Conservative,Andrew Rosindell,Conservative,Seat held,AndrewRosindell,20132840
Romsey and Southampton North,Conservative,Caroline Nokes,Conservative,Seat held,carolinenokes,209029473
West Bromwich East,Labour,Nicola Richards,Conservative,"Previous incumbent, Tom Watson, did not stand",Nicola4WBE,
Rossendale and Darwen,Conservative,Jake Berry,Conservative,Seat held,JakeBerry,217148014
Selby and Ainsty,Conservative,Nigel Adams,Conservative,Seat held,nadams,
Rotherham,Labour,Sarah Champion,Labour,Seat held,SarahChampionMP,948015937
Rugby,Conservative,Mark Pawsey,Conservative,Seat held,MarkPawsey,52412027
Wealden,Conservative,Nusrat Ghani,Conservative,Seat held,nus_ghani,
Hertsmere,Conservative,Oliver Dowden,Conservative,Seat held,OliverDowden,
Sheffield Hallam,Independent[g],Olivia Blake,Labour,"Previous incumbent, Jared O'Mara, did not stand",_oliviablake,
Midlothian,Labour,Owen Thompson,Scottish National,"Defeated incumbent, Danielle Rowley",OwenThompson,
Mole Valley,Conservative,Paul Beresford,Conservative,Seat held,none,none
Saffron Walden,Conservative,Kemi Badenoch,Conservative,Seat held,KemiBadenoch,4010545737
Salford and Eccles,Labour,Rebecca Long-Bailey,Labour,Seat held,RLong_Bailey,385306338
Salisbury,Conservative,John Glen,Conservative,Seat held,JohnGlenUK,36664451
Peterborough,Labour,Paul Bristow,Conservative,"Defeated incumbent, Lisa Forbes",paulbristow79,
South Antrim,DUP,Paul Girvan,DUP,Seat held,PaulGirvanMP,
Eastleigh,Conservative,Paul Holmes,Conservative,"Previous incumbent, Mims Davies, stood for Mid Sussex",pauljholmes,
Sefton Central,Labour,Bill Esterson,Labour,Seat held,Bill_Esterson,120720108
Sedgefield,Labour,Paul Howell,Conservative,"Defeated incumbent, Phil Wilson",PaulHowellMP,
Liverpool Wavertree,Liberal Democrats[f],Paula Barker,Labour,"Previous incumbent, Luciana Berger, did not stand",PaulaBarkerMP,
Sheffield Central,Labour,Paul Blomfield,Labour,Seat held,PaulBlomfieldMP,377319290
Darlington,Labour,Peter Gibson,Conservative,"Defeated incumbent, Jenny Chapman",gibbo4darlo,
Kettering,Conservative,Philip Hollobone,Conservative,Seat held,none,none
Birmingham Edgbaston,Labour Co-operative,Preet Gill,Labour Co-operative,Seat held,PreetKGillMP,
Sheffield Heeley,Labour,Louise Haigh,Labour,Seat held,LouHaigh,143508762
Sherwood,Conservative,Mark Spencer,Conservative,Seat held,Mark_Spencer,154943205
Shipley,Conservative,Philip Davies,Conservative,Seat held,PhilipDaviesUK,125312818
York Central,Labour Co-operative,Rachael Maskell,Labour Co-operative,Seat held,rachaelmaskell,
Luton South,Independent (The Independents)[f],Rachel Hopkins,Labour,"Defeated incumbent, Gavin Shuker",rach_hopkins,
Skipton and Ripon,Conservative,Julian Smith,Conservative,Seat held,JulianSmithUK,728039018
Sleaford and North Hykeham,Conservative,Caroline Johnson,Conservative,Seat held,drcarolinej,7.97022E+17
North East Hampshire,Conservative,Ranil Jayawardena,Conservative,Seat held,ranil,
Solihull,Conservative,Julian Knight,Conservative,Seat held,julianknight15,1271714653
Castle Point,Conservative,Rebecca Harris,Conservative,Seat held,RebeccaHarrisMP,
South Norfolk,Conservative,Richard Bacon,Conservative,Seat held,richardbaconmp,
South Basildon and East Thurrock,Conservative,Stephen Metcalfe,Conservative,Seat held,Metcalfe_SBET,435980092
South Dorset,Conservative,Richard Drax,Conservative,Seat held,none,none
South Derbyshire,Conservative,Heather Wheeler,Conservative,Seat held,HeatherWheeler,21744895
North East Bedfordshire,Conservative,Richard Fuller,Conservative,"Previous incumbent, Alistair Burt, did not stand",none,none
South Down,Sinn F̩in,Chris Hazzard,Sinn F̩in,Seat held,ChrisHazzardSF,349075382
South East Cambridgeshire,Conservative,Lucy Frazer,Conservative,Seat held,lucyfrazermp,3823970661
South East Cornwall,Conservative,Sheryll Murray,Conservative,Seat held,sheryllmurray,18627119
North West Durham,Labour,Richard Holden,Conservative,"Defeated incumbent, Laura Pidcock",RicHolden,
South Leicestershire,Conservative,Alberto Costa,Conservative,Seat held,AlbertoCostaMP,3005893073
Gordon,Conservative,Richard Thomson,Scottish National,"Defeated incumbent, Colin Clark",rthomsonmp,
South Northamptonshire,Conservative,Andrea Leadsom,Conservative,Seat held,andrealeadsom,38281180
Richmond (Yorks),Conservative,Rishi Sunak,Conservative,Seat held,RishiSunak,
South Shields,Labour,Emma Lewell-Buck,Labour,Seat held,EmmaLewellBuck,737066858
South Staffordshire,Conservative,Gavin Williamson,Conservative,Seat held,GavinWilliamson,368314502
Aylesbury,Conservative,Rob Butler,Conservative,"Previous incumbent, David Lidington, did not stand",RobBAylesbury,
South Swindon,Conservative,Robert Buckland,Conservative,Seat held,RobertBuckland,14284260
South Thanet,Conservative,Craig Mackinlay,Conservative,Seat held,cmackinlay,185790986
South West Bedfordshire,Conservative,Andrew Selous,Conservative,Seat held,AndrewSelous,90646214
Delyn,Labour,Rob Roberts,Conservative,"Defeated incumbent, David Hanson",none,none
Keighley,Labour,Robbie Moore,Conservative,"Defeated incumbent, John Grogan",_RobbieMoore,
Scarborough and Whitby,Conservative,Robert Goodwill,Conservative,Seat held,none,none
South West Surrey,Conservative,Jeremy Hunt,Conservative,Seat held,Jeremy_Hunt,112398730
South West Wiltshire,Conservative,Andrew Murrison,Conservative,Seat held,AWMurrison,759067032
Southampton Itchen,Conservative,Royston Smith,Conservative,Seat held,Royston_Smith,75562171
Southampton Test,Labour,Alan Whitehead,Labour,Seat held,alanwhiteheadmp,389443487
Harlow,Conservative,Robert Halfon,Conservative,Seat held,halfon4harlowMP,
High Peak,Labour,Robert Largan,Conservative,"Defeated incumbent, Ruth George",robertlargan,
Spelthorne,Conservative,Kwasi Kwarteng,Conservative,Seat held,KwasiKwarteng,7.07968E+17
Aberconwy,Conservative,Robin Millar,Conservative,"Previous incumbent, Guto Bebb, did not stand",RobinMillarMP,
St Austell and Newquay,Conservative,Steve Double,Conservative,Seat held,stevedouble,21174263
St Helens North,Labour,Conor McGinn,Labour,Seat held,ConorMcGinn,36158689
St Helens South and Whiston,Labour,Marie Rimmer,Labour,Seat held,MarieRimmer,2350948635
St Ives,Conservative,Derek Thomas,Conservative,Seat held,DerekThomasUK,3252801106
North Thanet,Conservative,Roger Gale,Conservative,Seat held,SirRogerGale,
Canterbury,Labour,Rosie Duffield,Labour,Seat held,RosieDuffield1,
Stalybridge and Hyde,Labour Co-operative,Jonathan Reynolds,Labour Co-operative,Seat held,jreynoldsMP,18632946
Stevenage,Conservative,Stephen McPartland,Conservative,Seat held,SMcPartland,397160160
Doncaster Central,Labour,Rosie Winterton,Labour,Seat held,none,none
Bethnal Green and Bow,Labour,Rushanara Ali,Labour,Seat held,rushanaraali,
Stockton North,Labour,Alex Cunningham,Labour,Seat held,ACunninghamMP,143739561
Brentford and Isleworth,Labour,Ruth Cadbury,Labour,Seat held,RuthCadbury,
Rushcliffe,Independent[h],Ruth Edwards,Conservative,"Previous incumbent, Ken Clarke, did not stand",none,none
Newport West,Labour,Ruth Jones,Labour,Seat held,RuthNewportWest,
Hastings and Rye,Independent[h],Sally-Ann Hart,Conservative,"Previous incumbent, Amber Rudd, did not stand",sallyann1066,
Stone,Conservative,Bill Cash,Conservative,Seat held,BillCashMP,100520303
Ilford South,Change UK[f],Sam Tarry,Labour,"Defeated incumbent, Mike Gapes",SamTarry,
East Antrim,DUP,Sammy Wilson,DUP,Seat held,eastantrimmp,
Stratford-on-Avon,Conservative,Nadhim Zahawi,Conservative,Seat held,nadhimzahawi,121127090
Meriden,Conservative,Saqib Bhatti,Conservative,"Previous incumbent, Caroline Spelman, did not stand",bhatti_saqib,
Hyndburn,Labour,Sara Britcliffe,Conservative,"Defeated incumbent, Graham Jones",SarBritcliffeMP,
Wrexham,Labour,Sarah Atherton,Conservative,"Previous incumbent, Ian Lucas, did not stand",none,none
Derbyshire Dales,Conservative,Sarah Dines,Conservative,"Previous incumbent, Patrick McLoughlin, did not stand",Dines4Dales,
Sunderland Central,Labour,Julie Elliott,Labour,Seat held,JulieElliottMP,776022362
Surrey Heath,Conservative,Michael Gove,Conservative,Seat held,michaelgove,7.48454E+17
Sutton and Cheam,Conservative,Paul Scully,Conservative,Seat held,scullyp,17484283
Richmond Park,Conservative,Sarah Olney,Liberal Democrats,"Defeated incumbent, Zac Goldsmith",sarahjolney1,
Swansea East,Labour,Carolyn Harris,Labour,Seat held,carolynharris24,2406093795
Swansea West,Labour Co-operative,Geraint Davies,Labour Co-operative,Seat held,GeraintDaviesMP,144791011
Tamworth,Conservative,Christopher Pincher,Conservative,Seat held,ChrisPincher,166598394
Tatton,Conservative,Esther McVey,Conservative,Seat held,EstherMcVey1,7.615E+17
Taunton Deane,Conservative,Rebecca Pow,Conservative,Seat held,pow_rebecca,371201577
Telford,Conservative,Lucy Allan,Conservative,Seat held,lucyallan,16134235
Tewkesbury,Conservative,Laurence Robertson,Conservative,Seat held,lrobertsonTewks,2795272097
Luton North,Independent[g],Sarah Owen,Labour,"Previous incumbent, Kelvin Hopkins, did not stand",SarahOwen_,
The Wrekin,Conservative,Mark Pritchard,Conservative,Seat held,MPritchardUK,804596460
Thirsk and Malton,Conservative,Kevin Hollinrake,Conservative,Seat held,kevinhollinrake,49619469
Thornbury and Yate,Conservative,Luke Hall,Conservative,Seat held,LukeHall,4490851456
Thurrock,Conservative,Jackie Doyle-Price,Conservative,Seat held,JackieDP,38671387
Blackpool South,Labour,Scott Benton,Conservative,"Defeated incumbent, Gordon Marsden",ScottBentonMP,
Feltham and Heston,Labour Co-operative,Seema Malhotra,Labour Co-operative,Seat held,SeemaMalhotra1,
Tooting,Labour,Rosena Allin-Khan,Labour,Seat held,DrRosena,2382227424
Torbay,Conservative,Kevin Foster,Conservative,Seat held,kevin_j_foster,43865757
Torfaen,Labour,Nick Thomas-Symonds,Labour,Seat held,NickTorfaen,3092429597
North Devon,Conservative,Selaine Saxby,Conservative,"Previous incumbent, Peter Heaton-Jones, did not stand",SelaineSaxby,
North West Cambridgeshire,Conservative,Shailesh Vara,Conservative,Seat held,ShaileshVara,
Tottenham,Labour,David Lammy,Labour,Seat held,DavidLammy,18020612
Washington and Sunderland West,Labour,Sharon Hodgson,Labour,Seat held,SharonHodgsonMP,
Tunbridge Wells,Conservative,Greg Clark,Conservative,Seat held,GregClarkMP,224655400
West Bromwich West,Labour Co-operative,Shaun Bailey,Conservative,"Previous incumbent, Adrian Bailey, did not stand",shaun4wbw,
Tynemouth,Labour,Alan Campbell,Labour,Seat held,alancampbellmp,2601366250
Clwyd South,Labour,Simon Baynes,Conservative,"Defeated incumbent, Susan Elan Jones",baynes_simon,
Uxbridge and South Ruislip,Conservative,Boris Johnson,Conservative,Seat held,BorisJohnson,3131144855
Barrow and Furness,Independent (The Independents)[f],Simon Fell,Conservative,"Previous incumbent, John Woodcock, did not stand",simonfell,
Vale of Glamorgan,Conservative,Alun Cairns,Conservative,Seat held,AlunCairns,76650839
