constituency,party_before,name,party_member,notes,screen_name,user_id
Poplar and Limehouse,Labour,Apsana Begum,Labour,"Previous incumbent, Jim Fitzpatrick, did not stand",ApsanaBegumMP,
Bolton South East,Labour,Yasmin Qureshi,Labour,Seat held,YasminQureshiMP,72341341
Bolton West,Conservative,Chris Green,Conservative,Seat held,CGreenUK,1305528373
Bootle,Labour,Peter Dowd,Labour,Seat held,Peter_Dowd,883173469
Boston and Skegness,Conservative,Matt Warman,Conservative,Seat held,mattwarman,17685009
Worsley and Eccles South,Labour,Barbara Keeley,Labour,Seat held,KeeleyMP,331178901
Bournemouth East,Conservative,Tobias Ellwood,Conservative,Seat held,Tobias_Ellwood,482866177
Bournemouth West,Conservative,Conor Burns,Conservative,Seat held,ConorBurnsUK,388250401
Streatham,Liberal Democrats[g],Bell Ribeiro-Addy,Labour,"Previous incumbent, Chuka Umunna, did not stand",BellRibeiroAddy,
Bradford East,Labour,Imran Hussain,Labour,Seat held,Imran_HussainMP,2979642791
Bradford South,Labour,Judith Cummins,Labour,Seat held,JudithCummins,401568431
Mansfield,Conservative,Ben Bradley,Conservative,Seat held,BBradley_Mans,
Milton Keynes North,Conservative,Ben Everitt,Conservative,"Previous incumbent, Mark Lancaster, did not stand",Ben_Everitt,
Ceredigion,Plaid Cymru,Ben Lake,Plaid Cymru,Seat held,BenMLake,456537189
Runnymede and Weybridge,Independent[h],Ben Spencer,Conservative,"Previous incumbent, Philip Hammond, did not stand",DrBenSpencer,
Brent North,Labour,Barry Gardiner,Labour,Seat held,BarryGardiner,107722321
Wyre and Preston North,Conservative,Ben Wallace,Conservative,Seat held,BWallaceMP,
Brentwood and Ongar,Conservative,Alex Burghart,Conservative,Seat held,alexburghart,22474050
Cynon Valley,Labour,Beth Winter,Labour,"Previous incumbent, Ann Clwyd, did not stand",BethWinterMP,
North Herefordshire,Conservative,Bill Wiggin,Conservative,Seat held,BillWigginMP,
Beckenham,Conservative,Bob Stewart,Conservative,Seat held,none,none
Bassetlaw,Vacant[g],Brendan Clarke-Smith,Conservative,"Previous incumbent, John Mann, did not stand",Bren4Bassetlaw,
Brighton Pavilion,Green,Caroline Lucas,Green,Seat held,CarolineLucas,80802900
Bristol East,Labour,Kerry McCarthy,Labour,Seat held,KerryMP,18099795
Bristol North West,Labour,Darren Jones,Labour,Seat held,darrenpjones,20392734
Bristol South,Labour,Karin Smyth,Labour,Seat held,karinsmyth,485146783
Upper Bann,DUP,Carla Lockhart,DUP,"Previous incumbent, David Simpson, did not stand",carlalockhart,
Glasgow North West,Scottish National,Carol Monaghan,Scottish National,Seat held,CMonaghanSNP,2916227068
Bromley and Chislehurst,Conservative,Bob Neill,Conservative,Seat held,neill_bob,2271025438
Bromsgrove,Conservative,Sajid Javid,Conservative,Seat held,sajidjavid,20052899
Eastbourne,Liberal Democrats,Caroline Ansell,Conservative,"Defeated incumbent, Stephen Lloyd",caroline_ansell,
Broxbourne,Conservative,Charles Walker,Conservative,Seat held,CharlesWalkerMP,
Warrington North,Labour,Charlotte Nichols,Labour,"Previous incumbent, Helen Jones, did not stand",charlotte2153,
Truro and Falmouth,Conservative,Cherilyn Mackrory,Conservative,"Previous incumbent, Sarah Newton, did not stand",thisischerilyn,
Chesham and Amersham,Conservative,Sarah Green,Liberal Democrat,Elected after the death of Cheryl Gillan in 2021,SarahGreenLD,
Chesham and Amersham,Conservative,Cheryl Gillan,Conservative,Seat held. Died in 2021.,CherylGillan,
Newcastle upon Tyne Central,Labour,Chi Onwurah,Labour,Seat held,ChiOnwurah,
Heywood and Middleton,Labour,Chris Clarkson,Conservative,"Defeated incumbent, Liz McInnes",ChrisClarksonMP,
Bury St Edmunds,Conservative,Jo Churchill,Conservative,Seat held,Jochurchill_MP,2855674449
Caerphilly,Labour,Wayne David,Labour,Seat held,WayneDavid_MP,415449314
"Caithness, Sutherland and Easter Ross",Liberal Democrats,Jamie Stone,Liberal Democrats,Seat held,Jamie4North,8.68788E+17
Calder Valley,Conservative,Craig Whittaker,Conservative,Seat held,CWhittaker_MP,593650130
Camberwell and Peckham,Labour,Harriet Harman,Labour,Seat held,HarrietHarman,19977759
Epsom and Ewell,Conservative,Chris Grayling,Conservative,Seat held,none,none
Cambridge,Labour,Daniel Zeichner,Labour,Seat held,DanielZeichner,454933267
Cannock Chase,Conservative,Amanda Milling,Conservative,Seat held,amandamilling,381433782
West Dorset,Independent[h],Chris Loder,Conservative,"Previous incumbent, Oliver Letwin, did not stand",chrisloder,
Cardiff Central,Labour,Jo Stevens,Labour,Seat held,JoStevensLabour,1328897358
Bury South,Independent[g],Christian Wakeford,Conservative,"Defeated incumbent, Ivan Lewis",Christian4BuryS,
Cardiff South and Penarth,Labour Co-operative,Stephen Doughty,Labour Co-operative,Seat held,SDoughtyMP,622426905
Cardiff West,Labour,Kevin Brennan,Labour,Seat held,KevinBrennanMP,21746513
Carlisle,Conservative,John Stevenson,Conservative,Seat held,John4Carlisle,222419520
Edinburgh West,Liberal Democrats,Christine Jardine,Liberal Democrats,Seat held,CajardineMP,
Carmarthen West and South Pembrokeshire,Conservative,Simon Hart,Conservative,Seat held,Simonhartmp,1442028488
Christchurch,Conservative,Christopher Chope,Conservative,Seat held,none,none
