,house,title,first_name,last_name,constituency,prov_territory,political_affiliation,start_date,name,screen_name
316,commons,,Chandra,Arya,Nepean,Ontario,Liberal,9/20/21 0:00,Chandra Arya,AryaCanada
317,commons,,Arnold,Viersen,Peace River?”Westlock,Alberta,Conservative,9/20/21 0:00,Arnold Viersen,ArnoldViersen
318,commons,Hon.,Anthony,Rota,Nipissing?”Timiskaming,Ontario,Liberal,9/20/21 0:00,Anthony Rota,AnthonyRota
319,commons,,Annie,Koutrakis,Vimy,Quebec,Liberal,9/20/21 0:00,Annie Koutrakis,AnnieKoutrakis
320,commons,,Anita,Vandenbeld,Ottawa West?”Nepean,Ontario,Liberal,9/20/21 0:00,Anita Vandenbeld,anitavandenbeld
321,commons,Hon.,Anita,Anand,Oakville,Ontario,Liberal,9/20/21 0:00,Anita Anand,AnitaAnandMP
322,commons,,Andy,Fillmore,Halifax,Nova Scotia,Liberal,9/20/21 0:00,Andy Fillmore,AndyFillmoreHFX
323,commons,Hon.,Andrew,Scheer,Regina?”Qu'Appelle,Saskatchewan,Conservative,9/20/21 0:00,Andrew Scheer,AndrewScheer
324,commons,,Alistair,MacGregor,Cowichan?”Malahat?”Langford,British Columbia,NDP,9/20/21 0:00,Alistair MacGregor,AMacGregor4CML
325,commons,,Ali,Ehsassi,Willowdale,Ontario,Liberal,9/20/21 0:00,Ali Ehsassi,AliEhsassi
326,commons,,Alex,Ruff,Bruce?”Grey?”Owen Sound,Ontario,Conservative,9/20/21 0:00,Alex Ruff,AlexRuff17
327,commons,,Alexandre,Boulerice,Rosemont?”La Petite-Patrie,Quebec,NDP,9/20/21 0:00,Alexandre Boulerice,alexboulerice
328,commons,,Alexandra,MendÃ¨s,Brossard?”Saint-Lambert,Quebec,Liberal,9/20/21 0:00,Alexandra MendÃ¨s,AlexandraBrStl
329,commons,,Alexis,Brunelle-Duceppe,Lac-Saint-Jean,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Alexis Brunelle-Duceppe,Alduceppe
330,commons,,Alain,Rayes,Richmond?”Arthabaska,Quebec,Conservative,9/20/21 0:00,Alain Rayes,AlainRayes
331,commons,,Anthony,Housefather,Mount Royal,Quebec,Liberal,9/20/21 0:00,Anthony Housefather,AHousefather
332,commons,,Anju,Dhillon,Dorval?”Lachine?”LaSalle,Quebec,Liberal,9/20/21 0:00,Anju Dhillon,adhillonDLL
333,commons,,Adam,Chambers,Simcoe North,Ontario,Conservative,9/20/21 0:00,Adam Chambers,adamchamb
334,commons,,AndrÃ©anne,Larouche,Shefford,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,AndrÃ©anne Larouche,A_Larouche_Shef
335,commons,,Bryan,May,Cambridge,Ontario,Liberal,9/20/21 0:00,Bryan May,_BryanMay
336,commons,,Nathalie,Sinclair-DesgagnÃ©,Terrebonne,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Nathalie Sinclair-DesgagnÃ©,NathalieSincla3
337,commons,,Simon-Pierre,Savard-Tremblay,Saint-Hyacinthe?”Bagot,Quebec,Bloc QuÃ©bÃ©cois,9/20/21 0:00,Simon-Pierre Savard-Tremblay,SPSTremblay
